Plate	Well	GeneID	Entrez_gene_ID	sub_lib
8	B11	LOC390226	390226	KIN
8	B12	PLK1	5347	KIN
8	C01	siCON2		
8	C02	CSNK1A1	1452	KIN
8	C03	NME2	4831	KIN
8	C04	MAK	4117	KIN
8	C05	PIK3CD	5293	KIN
8	C06	MAP3K6	9064	KIN
8	C07	BRDT	676	KIN
8	C08	EIF2AK4	440275	KIN
8	C09	NME6	10201	KIN
8	C10	DYRK1A	1859	KIN
8	C11	CAMK4	814	KIN
8	C12	MOCK		
8	D01	allSTAR		
8	D02	JIK	51347	KIN
8	D03	PKLR	5313	KIN
8	D04	PAK7	57144	KIN
8	D05	VRK1	7443	KIN
8	D06	EPHA6	285220	KIN
8	D07	GUCY2C	2984	KIN
8	D08	PNCK	139728	KIN
8	D09	VRK3	51231	KIN
8	D10	PDGFRA	5156	KIN
8	D11	DDR1	780	KIN
8	D12	siCON1		
8	E01	PLK1	5347	KIN
8	E02	PTK9L	11344	KIN
8	E03	PIK3C2A	5286	KIN
8	E04	STK32A	202374	KIN
8	E05	GTF2H1	2965	KIN
8	E06	TOPK	55872	KIN
8	E07	ZAK	51776	KIN
8	E08	PDK4	5166	KIN
8	E09	CHUK	1147	KIN
8	E10	TPK1	27010	KIN
8	E11	C14ORF20	283629	KIN
8	E12	siCON2		
8	F01	MOCK		
8	F02	PIM3	415116	KIN
8	F03	LMTK3	114783	KIN
8	F04	CHEK2	11200	KIN
8	F05	JAK1	3716	KIN
8	F06	EIF2AK3	9451	KIN
8	F07	PIK3C3	5289	KIN
8	F08	ROCK2	9475	KIN
8	F09	PIK3C2B	5287	KIN
8	F10	SGK	6446	KIN
8	F11	CLK3	1198	KIN
8	F12	allSTAR		
8	G01	siCON1		
8	G02	PXK	54899	KIN
8	G03	HUNK	30811	KIN
8	G04	MAP4K1	11184	KIN
8	G05	PCTK2	5128	KIN
8	G06	INSR	3643	KIN
8	G07	HIPK4	147746	KIN
8	G08	SIK2	23235	KIN
8	G09	MET	4233	KIN
8	G10	FYN	2534	KIN
8	G11	DKFZP434C131	25989	KIN
8	G12	PLK1	5347	KIN
8	H01	siCON2		
8	H02	SAST	22983	KIN
8	H03	NEK2	4751	KIN
8	H04	MAPKAPK5	8550	KIN
8	H05	NRK	203447	KIN
8	H06	PFKFB2	5208	KIN
8	H07	MARK4	57787	KIN
8	H08	EPHB1	2047	KIN
8	H09	MAGI-3	260425	KIN
8	H10	SSTK	83983	KIN
8	H11	IKBKG	8517	KIN
8	H12	MOCK		
9	A01	MOCK		
9	A02	N4BP2	55728	KIN
9	A03	NEK1	4750	KIN
9	A04	XYLB	9942	KIN
9	A05	RP6-213H19.1	51765	KIN
9	A06	SMG1	23049	KIN
9	A07	IHPK2	51447	KIN
9	A08	ILK	3611	KIN
9	A09	PSKH2	85481	KIN
9	A10	NRBP	29959	KIN
9	A11	ULK1	8408	KIN
9	A12	allSTAR		
9	B01	siCON1		
9	B02	PRKCA	5578	KIN
9	B03	CDKL2	8999	KIN
9	B04	FES	2242	KIN
9	B05	PRKAB1	5564	KIN
9	B06	HAK	115701	KIN
9	B07	CDK2	1017	KIN
