Plate	Well	GeneID	EntrezGene_ID	sublib
2	M15	PRKAR2B	5577	MET
2	M16	UGT2B15	7366	MET
2	M17	PRKCI	5584	MET
2	M18	UGT2B17	7367	MET
2	M19	PRKCZ	5590	MET
2	M20	UMPS	7372	MET
2	M21	MAPK1	5594	MET
2	M22	UQCRFS1	7386	MET
2	M23			
2	M24			
2	N01			
2	N02			
2	N03	TXNRD2	10587	MET
2	N04	UGT1A10	54575	MET
2	N05	APS	10603	MET
2	N06	UGT1A8	54576	MET
2	N07	PAICS	10606	MET
2	N08	UGT1A6	54578	MET
2	N09	ATP5L	10632	MET
2	N10	CROT	54677	MET
2	N11	FTCD	10841	MET
2	N12	FLJ20265	54872	MET
2	N13	ME3	10873	MET
2	N14	ELOVL2	54898	MET
2	N15	UGT2A1	10941	MET
2	N16	FLJ20522	54965	MET
2	N17	UQCR	10975	MET
2	N18	FLJ20604	54995	MET
2	N19	ILVBL	10994	MET
2	N20	SLC25A36	55186	MET
2	N21	SLC27A3	11000	MET
2	N22	TMLHE	55217	MET
2	N23			
2	N24			
2	O01			
2	O02			
2	O03	MAPK8	5599	MET
2	O04	UVRAG	7405	MET
2	O05	MAPK9	5601	MET
2	O06	XDH	7498	MET
2	O07	MAPK10	5602	MET
2	O08	CXCR4	7852	MET
2	O09	MAP2K1	5604	MET
2	O10	ALDH5A1	7915	MET
2	O11	MAP2K2	5605	MET
2	O12	SLC25A16	8034	MET
2	O13	PRKX	5613	MET
2	O14	SLC7A5	8140	MET
2	O15	PRKY	5616	MET
2	O16	ACOX2	8309	MET
2	O17	PRODH	5625	MET
2	O18	NME5	8382	MET
2	O19	PRPS1	5631	MET
2	O20	SLC25A11	8402	MET
2	O21	PRPS2	5634	MET
2	O22	ULK1	8408	MET
2	O23			
2	O24			
2	P01			
2	P02			
2	P03	HIBADH	11112	MET
2	P04	PGM2	55276	MET
2	P05	SLC2A6	11182	MET
2	P06	CHDH	55349	MET
2	P07	INMT	11185	MET
2	P08	SLC22A15	55356	MET
2	P09	CHEK2	11200	MET
2	P10	NAGK	55577	MET
2	P11	AKAP10	11216	MET
2	P12	ALDRL6	55586	MET
2	P13	HSGT1	11319	MET
2	P14	FLJ20477	55650	MET
2	P15	GABARAP	11337	MET
2	P16	HIF1AN	55662	MET
2	P17	RPIA	22934	MET
2	P18	CMAS	55907	MET
2	P19	SNX13	23161	MET
2	P20	DAP13	55967	MET
2	P21	SLC35D1	23169	MET
2	P22	SLC2A9	56606	MET
2	P23			
2	P24			
3	A01			
3	A02			
3	A03	Raptor	57521	MET
3	A04	RALP	399694	MET
2	D11	MTMR1	8776	MET
3	A06	MCART6	401612	MET
3	A07	SLC25A19	60386	MET
3	A08			
3	A09	MCCC2	64087	MET
3	A10			
3	A11	FN3K	64122	MET
3	A12			
3	A13	GBL	64223	MET
3	A14			
3	A15	CREB3L2	64764	MET
3	A16			
3	A17	C9ORF12	64768	MET
3	A18			
3	A19	GNPNAT1	64841	MET
3	A20			
3	A21	AGXT2L1	64850	MET
3	A22			
3	A23			
3	A24			
3	B01			
3	B02			
3	B03			
3	B04			
3	B05			
