Plate	Well	Condition_ID	GeneID
9	C08	40999048	KIAA1765
9	C09	40999049	EXOSC10
9	C10	40999050	PGK1
9	C11	40999051	AK3L1
9	C12	40999052	MOCK
9	D01	40999053	allSTAR
9	D02	40999054	PLK3
9	D03	40999055	EFNB3
9	D04	40999056	EPHB3
9	D05	40999057	PRKCB1
9	D06	40999058	DGKD
9	D07	40999059	EPHB4
9	D08	40999060	MGC45428
9	D09	40999061	CHKB
9	D10	40999062	PRKAR2B
9	D11	40999063	PCK2
9	D12	40999064	siCON1
9	E01	40999065	PLK1
9	E02	40999066	AMHR2
9	E03	40999067	DUSP21
9	E04	40999068	CDKN2B
9	E05	40999069	DLG1
9	E06	40999070	C9ORF96
9	E07	40999071	MAP2K1
9	E08	40999072	GALK2
9	E09	40999073	NTRK1
9	E10	40999074	NME4
9	E11	40999075	BRAF
9	E12	40999076	siCON2
9	F01	40999077	MOCK
9	F02	40999078	PASK
9	F03	40999079	HUS1
9	F04	40999080	TLK1
9	F05	40999081	PFKM
9	F06	40999082	PRKAA2
9	F07	40999083	ITPKB
9	F08	40999084	MPP3
9	F09	40999085	CDK3
9	F10	40999086	PDPK1
9	F11	40999087	C10ORF89
9	F12	40999088	allSTAR
9	G01	40999089	siCON1
9	G02	40999090	EPHA4
9	G03	40999091	DCAMKL1
9	G04	40999092	GK2
9	G05	40999093	KUB3
9	G06	40999094	TRPM7
9	G07	40999095	MYLK
9	G08	40999096	GUCY2F
9	G09	40999097	GSK3B
9	G10	40999098	MST1R
9	G11	40999099	AK2
9	G12	40999100	PLK1
9	H01	40999101	siCON2
9	H02	40999102	NEK7
9	H03	40999103	PRKWNK1
9	H04	40999104	TSKS
9	H05	40999105	STK19
9	H06	40999106	MAPK12
9	H07	40999107	GALK1
9	H08	40999108	IPMK
9	H09	40999109	PANK4
9	H10	40999110	PRKACG
9	H11	40999111	FLT1
9	H12	40999112	MOCK
